source_id,name,jurisdiction_level,state,publisher,source_kinds,lead_signals,url,portal_family,access_mode,credential_env,official_status,access_status,integration_status,discovered_on,last_access_checked_on,discovery_method,evidence_url,coverage_rule,coverage_scope,notes
az.mesa_schools.procurement,Mesa Public Schools procurement,school_district,AZ,Mesa Public Schools,rfp|contract_award,silver,https://www.mpsaz.org/purchasing,opengov,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.mpsaz.org/purchasing,unknown,Mesa Public Schools,Firecrawl candidate not access tested
az.mohave_county.bids,Mohave County contracts and bid opportunities,county,AZ,Mohave County,rfp|contract_award,silver,https://www.mohave.gov/departments/procurement/contracts-bid-opportunities/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.mohave.gov/departments/procurement/contracts-bid-opportunities/,unknown,Mohave County,Firecrawl candidate not access tested
az.state.grants_ecivis,Arizona eCivis grant resources,state,AZ,State of Arizona,grant_opportunity,watch,https://az911.gov/ecivis-login-and-resources,ecivis,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://az911.gov/ecivis-login-and-resources,unknown,Arizona participating grant programs,Statewide coverage and public search need testing
az.state.procurement,Arizona State Procurement Office,state,AZ,State of Arizona,rfp|contract_award,silver,https://spo.az.gov/,custom_web,unknown,,assumed,needs-testing,discovered,2026-07-15,,naspo_directory,https://www.naspo.org/research-and-innovation/rosp-category/procurement-website/,unknown,Arizona state agencies,Portal and anonymous search need verification
ca.los_angeles_county.procurement,Los Angeles County purchasing and contract opportunities,county,CA,Los Angeles County,rfp|contract_award,silver,https://lacounty.gov/business/doing-business-with-la-county/lac-purchasing-and-contract-opportunities/,custom_web,unknown,,verified,needs-testing,access_checked,2026-07-15,2026-07-15,firecrawl_search,https://lacounty.gov/business/doing-business-with-la-county/lac-purchasing-and-contract-opportunities/,unknown,Los Angeles County,Official page scraped live; anonymous access to the underlying bid list still needs testing
ca.san_diego_unified.bids,San Diego Unified bids and RFPs,school_district,CA,San Diego Unified School District,rfp|contract_award,silver,https://sandiegounified.org/departments/strategic_sourcing_and_contracts/bids_and_requests_for_proposal,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://sandiegounified.org/departments/strategic_sourcing_and_contracts/bids_and_requests_for_proposal,unknown,San Diego Unified School District,Firecrawl candidate not access tested
ca.santa_cruz_county.solicitations,Santa Cruz County solicitations,county,CA,Santa Cruz County,rfp|contract_award,silver,https://www.santacruzcountyca.gov/departments/generalservices/purchasing/solicitations.aspx,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.santacruzcountyca.gov/departments/generalservices/purchasing/solicitations.aspx,unknown,Santa Cruz County,Firecrawl candidate not access tested
ca.state.caleprocure,Cal eProcure,state,CA,State of California,rfp|contract_award,silver,https://caleprocure.ca.gov/pages/Events-BS3/event-search.aspx,custom_portal,unknown,,assumed,needs-testing,discovered,2026-07-15,,naspo_directory,https://www.dgs.ca.gov/PD,unknown,California state agencies and participating entities,Anonymous data access needs verification
co.denver.bids,Denver bidding opportunities,city,CO,City and County of Denver,rfp|contract_award,silver,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/General-Services/Purchasing-Division/Bidding-Opportunities,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/General-Services/Purchasing-Division/Bidding-Opportunities,unknown,Denver city and county,Firecrawl candidate not access tested
co.el_paso_county.bids,El Paso County solicitations,county,CO,El Paso County,rfp|contract_award,silver,https://admin.elpasoco.com/financial-services/contracts-and-procurement/solicitations/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://admin.elpasoco.com/financial-services/contracts-and-procurement/solicitations/,unknown,El Paso County,Firecrawl candidate not access tested
co.st_vrain_schools.procurement,St Vrain Valley Schools procurement,school_district,CO,St Vrain Valley Schools,rfp|contract_award,silver,https://www.svvsd.org/departments/financial-services/purchasing/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.svvsd.org/departments/financial-services/purchasing/,unknown,St Vrain Valley Schools,Firecrawl candidate not access tested
co.state.gains,Colorado GAINS grant system,state,CO,State of Colorado,grant_opportunity|grant_award,gold|watch,https://colorado.egrantsmanagement.com/,egrantsmanagement,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://colorado.egrantsmanagement.com/,unknown,Colorado participating grant programs,Public opportunity and award access need testing
co.state.procurement,Colorado procurement solicitations,state,CO,State of Colorado,rfp|contract_award,silver,https://osc.colorado.gov/spco/solicitations,custom_web,unknown,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://osc.colorado.gov/spco/solicitations,unknown,Colorado state agencies,Firecrawl discovery only
ct.capitol_region_cog.procurement,Capitol Region Council of Governments procurement,regional_government,CT,Capitol Region Council of Governments,rfp|contract_award,silver,https://crcogct.gov/rfp-rfq/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://crcogct.gov/rfp-rfq/,optional,Connecticut county-equivalent planning region,COG procurement is regional and not a traditional county government
ct.new_haven.bids,New Haven bid opportunities,city,CT,City of New Haven,rfp|contract_award,silver,https://www.newhavenct.gov/government/departments-divisions/small-contractor-development/bid-opportunities,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.newhavenct.gov/government/departments-divisions/small-contractor-development/bid-opportunities,unknown,New Haven,Firecrawl candidate not access tested
ct.stamford_schools.bids,Stamford Public Schools RFPs and bids,school_district,CT,Stamford Public Schools,rfp|contract_award,silver,https://www.stamfordpublicschools.org/departments/finance-and-purchasing/rfps-and-bids,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.stamfordpublicschools.org/departments/finance-and-purchasing/rfps-and-bids,unknown,Stamford Public Schools,Firecrawl candidate not access tested
ct.state.ctsource,CTsource Bid Board,state,CT,State of Connecticut,rfp|contract_award,silver,https://portal.ct.gov/das/ctsource/bidboard,custom_portal,unknown,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://portal.ct.gov/das/ctsource/bidboard,unknown,Connecticut state agencies and participating entities,Firecrawl discovery only
ct.state.school_security_grants,Connecticut School Security Competitive Grant Program,state,CT,Connecticut DEMHS,grant_opportunity|grant_award,gold|watch,https://portal.ct.gov/demhs/grants/school-security-competitive-grant-program-overview,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://portal.ct.gov/demhs/grants/school-security-competitive-grant-program-overview,optional,Connecticut school-security grants,Highly relevant recipient and cycle access need testing
dc.charter_school.contracts,DC public charter school contracts,multi_jurisdiction,DC,DC Public Charter School Board,contract_award,gold,https://dcpcsb.org/public-charter-school-contracts,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://dcpcsb.org/public-charter-school-contracts,unknown,DC public charter schools,Firecrawl candidate not access tested
dc.dcps.awards,DC Public Schools awarded contracts,school_district,DC,DC Public Schools,contract_award,gold,https://dcps.dc.gov/page/dcps-awarded-contracts,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://dcps.dc.gov/page/dcps-awarded-contracts,unknown,DC Public Schools,Firecrawl candidate not access tested
dc.state.grants_funding,DC grants and funding,state,DC,District of Columbia,grant_opportunity|grant_award,gold|watch,https://dc.gov/page/grants-and-funding,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://dc.gov/page/grants-and-funding,unknown,District grant programs,Completeness and automation need testing
dc.state.ocp,DC Office of Contracting and Procurement,state,DC,District of Columbia,rfp|contract_award,silver,https://ocp.dc.gov/page/solicitations-and-contracts,custom_web,unknown,,assumed,needs-testing,discovered,2026-07-15,,naspo_directory,https://ocp.dc.gov/,unknown,District government,Portal and anonymous search need verification
de.arts.grants,Delaware Division of the Arts grant portal,state,DE,Delaware Division of the Arts,grant_opportunity|grant_award,gold|watch,https://arts.delaware.gov/grant-management-portal/,custom_portal,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://arts.delaware.gov/grant-management-portal/,optional,Delaware arts grants only,Agency-specific and low security fit
de.christina_schools.procurement,Christina School District procurement,school_district,DE,Christina School District,rfp|contract_award,silver,https://www.christinak12.org/departments/business-services-finance/doing-business-with-christina,delaware_bids,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.christinak12.org/departments/business-services-finance/doing-business-with-christina,unknown,Christina School District,Firecrawl candidate not access tested
de.new_castle_county.bids,New Castle County bid postings,county,DE,New Castle County,rfp|contract_award,silver,https://www.newcastlede.gov/Bids.aspx,civicengage,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.newcastlede.gov/Bids.aspx,unknown,New Castle County,Firecrawl candidate not access tested
de.state.bids,Delaware bids and contracts,state,DE,State of Delaware,rfp|contract_award,silver,https://bids.delaware.gov/,custom_web,unknown,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://bids.delaware.gov/,unknown,Delaware public entities,Firecrawl discovery only
fl.osceola_county.bids,Osceola County bids and solicitations,county,FL,Osceola County,rfp|contract_award,silver,https://www.osceola.org/Doing-Business/Bids-and-Solicitations,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.osceola.org/Doing-Business/Bids-and-Solicitations,unknown,Osceola County,Firecrawl candidate not access tested
fl.st_johns_schools.bids,St Johns County School District open bids,school_district,FL,St Johns County School District,rfp|contract_award,silver,https://www.stjohns.k12.fl.us/purchasing/active/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.stjohns.k12.fl.us/purchasing/active/,unknown,St Johns County School District,Firecrawl candidate not access tested
fl.state.dos_grants,Florida Department of State grants system,state,FL,Florida Department of State,grant_opportunity|grant_award,gold|watch,https://dosgrants.com/,custom_portal,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://dosgrants.com/,optional,Florida Department of State programs,Agency-specific coverage
fl.state.vbs,Florida Vendor Bid System,state,FL,State of Florida,rfp|contract_award,silver,https://vendor.myfloridamarketplace.com/search/bids,custom_portal,unknown,,assumed,needs-testing,discovered,2026-07-15,,naspo_directory,https://www.dms.myflorida.com/business_operations/state_purchasing,unknown,Florida state agencies,Portal and anonymous search need verification
ga.fulton_county.bids,Fulton County bid opportunities,county,GA,Fulton County,rfp|contract_award,silver,https://fultoncountyga.gov/inside-fulton-county/fulton-county-departments/purchasing-and-contract-compliance/bid-opportunities,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://fultoncountyga.gov/inside-fulton-county/fulton-county-departments/purchasing-and-contract-compliance/bid-opportunities,unknown,Fulton County,Firecrawl candidate not access tested
ga.fulton_schools.solicitations,Fulton County Schools solicitations,school_district,GA,Fulton County Schools,rfp|contract_award,silver,https://www.fultonschools.org/all-departments/operations/capital-programs/solicitations-out-for-bid,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.fultonschools.org/all-departments/operations/capital-programs/solicitations-out-for-bid,unknown,Fulton County Schools,Firecrawl candidate not access tested
ga.glynn_schools.bids,Glynn County Schools purchasing and bid opportunities,school_district,GA,Glynn County Schools,rfp|contract_award,silver,https://www.glynn.k12.ga.us/purchasing-and-bid-opportunities,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.glynn.k12.ga.us/purchasing-and-bid-opportunities,unknown,Glynn County Schools,Firecrawl candidate not access tested
ga.state.public_safety_grants,Georgia public safety grant portal,state,GA,Georgia Office of Planning and Budget,grant_opportunity|grant_award,gold|watch,https://opb.smapply.io/prog/public_safety_and_community_violence_reduction/,survey_monkey_apply,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://opb.smapply.io/prog/public_safety_and_community_violence_reduction/,optional,Georgia public-safety grant programs,Portal ownership and public result access need testing
ga.state.registry,Georgia Procurement Registry,state,GA,State of Georgia,rfp|contract_award,silver,https://ssl.doas.state.ga.us/gpr/,custom_portal,unknown,,assumed,needs-testing,discovered,2026-07-15,,naspo_directory,https://doas.ga.gov/state-purchasing,unknown,Georgia state and local public entities,Portal and local coverage need verification
hi.hawaii_county.bids,Hawaii County bids proposals and contracts,county,HI,County of Hawaii,rfp|contract_award,silver,https://www.hawaiicounty.gov/business/bids-proposals-contracts-info-status,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.hawaiicounty.gov/business/bids-proposals-contracts-info-status,unknown,Hawaii County,Firecrawl candidate not access tested
hi.hidoe.vendors,Hawaii Department of Education vendor opportunities,school_district,HI,Hawaii Department of Education,rfp|contract_award,silver,https://hawaiipublicschools.org/useful-links/vendors-working-with-hidoe/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://hawaiipublicschools.org/useful-links/vendors-working-with-hidoe/,required,Hawaii statewide school district,Firecrawl candidate not access tested
hi.state.dhs_grants,Hawaii Department of Human Services grants,state,HI,Hawaii Department of Human Services,grant_opportunity|grant_award,gold|watch,https://humanservices.hawaii.gov/grants/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://humanservices.hawaii.gov/grants/,optional,Hawaii human-services grants,Low security fit and agency-only coverage
hi.state.hiepro,Hawaii eProcurement,state,HI,State of Hawaii,rfp|contract_award,silver,https://hiepro.ehawaii.gov/welcome.html,custom_portal,unknown,,assumed,needs-testing,discovered,2026-07-15,,naspo_directory,https://spo.hawaii.gov/for-vendors/bidding-opportunities/,unknown,Hawaii state agencies,Portal and anonymous search need verification
ia.des_moines_schools.procurement,Des Moines Public Schools procurement,school_district,IA,Des Moines Public Schools,rfp|contract_award,silver,https://www.dmschools.org/departments/business-finance/purchasing/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.dmschools.org/departments/business-finance/purchasing/,unknown,Des Moines Public Schools,Firecrawl candidate not access tested
ia.polk_county.bids,Polk County current open bids,county,IA,Polk County,rfp|contract_award,silver,https://www.polkcountyiowa.gov/procurement-and-purchasing-division/current-open-bids/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.polkcountyiowa.gov/procurement-and-purchasing-division/current-open-bids/,unknown,Polk County,Firecrawl candidate not access tested
ia.state.bids,Iowa bid opportunities,state,IA,State of Iowa,rfp|contract_award,silver,https://bidopportunities.iowa.gov/,custom_web,unknown,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://bidopportunities.iowa.gov/,unknown,Iowa state agencies,Firecrawl discovery only
ia.state.iowagrants,IowaGrants,state,IA,State of Iowa,grant_opportunity|grant_award,gold|watch,https://www.iowagrants.gov/storefrontFOList.do,webgrants,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.iowagrants.gov/storefrontFOList.do,unknown,Iowa participating grant programs,Storefront found but pagination and awards need testing
id.ada_highway.bids,Ada County Highway District bids and procurement,special_district,ID,Ada County Highway District,rfp|contract_award,silver,https://www.achdidaho.org/projects/bids-procurement,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.achdidaho.org/projects/bids-procurement,unknown,Ada County highway district,Special district candidate not county-wide coverage
id.boise_schools.procurement,Boise School District purchasing,school_district,ID,Boise School District,rfp|contract_award,silver,https://www.boiseschools.org/345909_2,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.boiseschools.org/345909_2,unknown,Boise School District,Firecrawl candidate not access tested
id.state.ipro,Idaho procurement,state,ID,State of Idaho,rfp|contract_award,silver,https://purchasing.idaho.gov/,custom_web,unknown,,assumed,needs-testing,discovered,2026-07-15,,naspo_directory,https://purchasing.idaho.gov/,unknown,Idaho state agencies,Portal and anonymous search need verification
id.state.sro_grants,Idaho School Resource Officer Grant Program,state,ID,Idaho Department of Education,grant_opportunity|grant_award,gold|watch,https://www.sde.idaho.gov/about-us/departments/student-health-and-safety/school-resource-officer-grant-program/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.sde.idaho.gov/about-us/departments/student-health-and-safety/school-resource-officer-grant-program/,optional,Idaho school-safety personnel grants,Physical-technology fit and recipient lists need testing
il.chicago_schools.procurement,Chicago Public Schools contracting opportunities,school_district,IL,Chicago Public Schools,rfp|contract_award,silver,https://www.cps.edu/procurement/contracting-opportunities/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.cps.edu/procurement/contracting-opportunities/,unknown,Chicago Public Schools,Firecrawl candidate not access tested
il.state.bidbuy,BidBuy Illinois,state,IL,State of Illinois,rfp|contract_award,silver,https://www.bidbuy.illinois.gov/bso/,custom_portal,unknown,,assumed,needs-testing,discovered,2026-07-15,,naspo_directory,https://www.bidbuy.illinois.gov/bso/,unknown,Illinois state agencies,Portal and anonymous search need verification
il.state.gata_csfa,Illinois Catalog of State Financial Assistance,state,IL,State of Illinois,grant_opportunity|grant_award,gold|watch,https://gata.illinois.gov/grants/csfa.html,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://gata.illinois.gov/grants/csfa.html,unknown,Illinois state financial assistance programs,Public notices visible but automation needs testing
il.will_county.bids,Will County current bids,county,IL,Will County,rfp|contract_award,silver,https://willcounty.gov/County-Offices/Administration/Purchasing/Current-Bids,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://willcounty.gov/County-Offices/Administration/Purchasing/Current-Bids,unknown,Will County,Firecrawl candidate not access tested
in.indianapolis_schools.procurement,Indianapolis Public Schools procurement,school_district,IN,Indianapolis Public Schools,rfp|contract_award,silver,https://myips.org/central-services/finance/doing-business-with-ips/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://myips.org/central-services/finance/doing-business-with-ips/,unknown,Indianapolis Public Schools,Firecrawl candidate not access tested
in.marion_county.bids,Indianapolis and Marion County bid opportunities,county,IN,City of Indianapolis and Marion County,rfp|contract_award,silver,https://www.indy.gov/activity/find-bid-opportunities,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.indy.gov/activity/find-bid-opportunities,unknown,Marion County consolidated government,Firecrawl candidate not access tested
in.state.idoa,Indiana current business opportunities,state,IN,State of Indiana,rfp|contract_award,silver,https://www.in.gov/idoa/procurement/current-business-opportunities/,custom_web,unknown,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.in.gov/idoa/procurement/current-business-opportunities/,unknown,Indiana state agencies,Firecrawl discovery only
in.state.secured_school_safety,Indiana Secured School Safety Grant Program,state,IN,Indiana Department of Homeland Security,grant_opportunity|grant_award,gold|watch,https://www.in.gov/dhs/grants-management/secured-school-safety-grant-program/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.in.gov/dhs/grants-management/secured-school-safety-grant-program/,optional,Indiana school-safety grants,Highly relevant recipient and cycle access need testing
ks.kansas_city_schools.purchasing,Kansas City Kansas Public Schools purchasing,school_district,KS,Kansas City Kansas Public Schools,rfp|contract_award,silver,https://www.kcpublicschools.org/page/purchasing,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.kcpublicschools.org/page/purchasing,unknown,Kansas City Kansas Public Schools,Firecrawl candidate not access tested
ks.state.bids,Kansas bidding and contracts,state,KS,State of Kansas,rfp|contract_award,silver,https://admin.ks.gov/offices/procurement-contracts/bidding--contracts,custom_web,unknown,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://admin.ks.gov/offices/procurement-contracts/bidding--contracts,unknown,Kansas state agencies,Firecrawl discovery only
ks.state.governors_grants,Kansas Governors Grants Program,state,KS,State of Kansas,grant_opportunity|grant_award,gold|watch,https://www.grants.ks.gov/,custom_portal,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.grants.ks.gov/,unknown,Kansas state grant programs,Public portal and award access need testing
ks.wyandotte.bids,Unified Government of Wyandotte County bids,county,KS,Unified Government of Wyandotte County and Kansas City,rfp|contract_award,silver,http://purchasing.wycokck.org/eprocurement/Bid_Download.aspx,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,http://purchasing.wycokck.org/eprocurement/Bid_Download.aspx,unknown,Wyandotte County and Kansas City,Legacy HTTP candidate not access tested
ky.jefferson_schools.purchasing,Jefferson County Public Schools purchasing,school_district,KY,Jefferson County Public Schools,rfp|contract_award,silver,https://www.jefferson.kyschools.us/page/purchasing,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.jefferson.kyschools.us/page/purchasing,unknown,Jefferson County Public Schools,Firecrawl candidate not access tested
ky.louisville_metro.procurement,Louisville Metro procurement,county,KY,Louisville Metro Government,rfp|contract_award,silver,https://louisvilleky.gov/government/management-budget/procurement,demandstar,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://louisvilleky.gov/government/management-budget/procurement,unknown,Jefferson County consolidated government,Firecrawl candidate not access tested
ky.state.homeland_security_grants,Kentucky Homeland Security grants,state,KY,Kentucky Office of Homeland Security,grant_opportunity|grant_award,gold|watch,https://homelandsecurity.ky.gov/Pages/Grants.aspx,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://homelandsecurity.ky.gov/Pages/Grants.aspx,optional,Kentucky homeland-security grants,Local recipient and equipment-scope access need testing
ky.state.procurement,Kentucky eProcurement,state,KY,Commonwealth of Kentucky,rfp|contract_award,silver,https://finance.ky.gov/office-of-the-controller/office-of-procurement-services/,custom_portal,unknown,,assumed,needs-testing,discovered,2026-07-15,,naspo_directory,https://finance.ky.gov/office-of-the-controller/office-of-procurement-services/,unknown,Kentucky state agencies,Portal and anonymous search need verification
la.nola_schools.solicitations,NOLA Public Schools solicitations,school_district,LA,NOLA Public Schools,rfp|contract_award,silver,https://nolapublicschools.com/community/business-resources/solicitations,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://nolapublicschools.com/community/business-resources/solicitations,unknown,NOLA Public Schools,Firecrawl candidate not access tested
